회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,전화번호,팩스번호,업종명,설립일,결산월,popup_id
(주)지에스글로벌  정보 더보기  rss,GS Global Corp.,GS글로벌,001250,이영환  정보 더보기,유가증권시장,110111-0031479,202-81-33028,서울특별시 강남구 논현로 508 GS강남타워,www.gsgcorp.com,www.gsgcorp.com,02-2005-5300,02-2005-5150,상품 종합 도매업,1954-07-31,12월,00138190
디엘이앤씨 주식회사  rss,"DL E&C CO.,LTD.",DL이앤씨,375500,박상신  정보 더보기,유가증권시장,110111-7736808,676-87-01904,서울특별시 종로구 통일로 134,www.dlenc.co.kr,,02-2011-7114,,토목 건설업,2021-01-04,12월,01524093
(주)플랜텍  정보 더보기,"PLANTEC Co.,Ltd",플랜텍,051310,구본진  정보 더보기,기타법인,181211-0010898,610-81-08943,경상북도 포항시 남구 대송로 83번길 61(장흥동),www.plantecs.co.kr,,054-279-7369,054-279-7111,산업생산시설 종합건설업,1989-06-15,12월,00181934
고려아연(주)  정보 더보기  rss,KOREA ZINC INC,고려아연,010130,"박기덕, 정태웅  정보 더보기",유가증권시장,110111-0168404,211-81-11260,서울특별시 종로구 종로33 (청진동) -,www.koreazinc.co.kr,,02-519-3416,549-8245,"연 및 아연 제련, 정련 및 합금 제조업",1974-08-01,12월,00102858
(주)위닉스  정보 더보기  rss,WINIX INC.,위닉스,044340,"윤희종, 윤철민  정보 더보기",코스닥시장,130111-0026260,133-81-22434,경기도 시흥시 공단1대로 295(정왕동) 시화공단 3나 607호,www.e-winix.co.kr,,031 -499 -5085,0314982618,기타 가정용 전기기기 제조업,1986-09-22,12월,00293886
금호석유화학(주)  정보 더보기  rss,"KUMHO PETRO CHEMICAL CO.,LTD",금호석유화학,011780,백종훈  정보 더보기,유가증권시장,110111-0205975,102-81-31147,"서울특별시 중구 청계천로 100 (수표동, 시그니쳐타워)",www.kkpc.com,,02-6961-1114,02-6961-1279,기초 화학물질 제조업,1976-12-10,12월,00106368
주성엔지니어링(주)  rss,"JUSUNG ENGINEERING Co.,Ltd.",주성엔지니어링,036930,황철주,코스닥시장,130111-0033281,124-81-29001,경기도 광주시 오포읍 오포로 240 주성엔지니어링,www.jseng.com,,031 -760 -7000,031-760-7117,기타 가공 공작기계 제조업,1995-04-13,12월,00252135
(주)대림  정보 더보기,"DAELIM CO., LTD.",대림,,배원복  정보 더보기,기타법인,110111-1081093,110-81-30979,"서울특별시 종로구 통일로 134 (평동, 센터포인트돈의문)",www.daelimcorp.co.kr,,02)2136-8823,02)757-7743,기타 화학물질 및 화학제품 도매업,1994-10-01,12월,00204688
에쓰씨엔지니어링(주)  정보 더보기  rss,"SC ENGINEERING CO., LTD",에쓰씨엔지니어링,023960,김기웅  정보 더보기,유가증권시장,110111-0271497,116-81-07777,"서울특별시 강서구 공항대로 396 7,8층",www.sc-eng.com,,02-2167-9090,02)2167-9157,토목 건설업,1971-01-14,12월,00121969
(주)에이프로젠  정보 더보기  rss,"Aprogen, Inc",에이프로젠,007460,김재섭  정보 더보기,유가증권시장,110111-0122731,219-81-00146,"경기도 성남시 중원구 둔촌대로 545 경기도 성남시 중원구 둔촌대로545, 비1층 (상대원동, 한라시그마밸리)",www.aprogen.com,,031-782-3433,031-8022-0592,기타 금속 가공제품 제조업,1971-11-15,12월,00152385
(주)한국씨티은행  정보 더보기,Citibank Korea Inc.,한국씨티은행,016830,유명순  정보 더보기,기타법인,110111-0303539,102-81-14717,서울특별시 종로구 새문안로 50,www.citibank.co.kr,,02-3455-2114,3455-2955,국내은행,1981-09-19,12월,00161444
(주)뉴파워프라즈마  rss,"New Power Plasma Co.,Ltd",뉴파워프라즈마,144960,양재영  정보 더보기,코스닥시장,110111-1784952,212-81-44110,경기도 수원시 권선구 산업로155번길 214 (주)뉴파워프라즈마,newpower.co.kr,,031-612-7600,031-612-7699,반도체 제조용 기계 제조업,1999-10-07,12월,00521390
(주)한샘  정보 더보기  rss,"HANSSEM CO.,LTD.",한샘,009240,김유진(대표집행임원)  정보 더보기,유가증권시장,134111-0003595,133-81-22865,경기도 안산시 단원구 번영2로 144,company.hanssem.com,,02-6470-4680,02-595-1674,생활용 가구 도매업,1973-09-12,12월,00161693
(주)엘앤에프  rss,"L&F CO.,LTD",엘앤에프,066970,최수안  정보 더보기,유가증권시장,176011-0022654,513-81-19101,대구광역시 달서구 이곡동로 11,www.landf.co.kr/,,053-592-7300,053-592-7301,운송장비용 이차전지 제조업,2000-07-27,12월,00398701
현대엔지니어링(주)  정보 더보기,"HYUNDAI ENGINEERING CO., LTD",현대엔지니어링,,주우정  정보 더보기,기타법인,110111-2153015,101-81-66755,서울특별시 종로구 율곡로 75,www.hec.co.kr,,02-2134-1114,02-2038-6442,건물 및 토목 엔지니어링 서비스업,2001-01-17,12월,00349927
에이치엠엠(주)  정보 더보기  rss,"HMM CO.,LTD",HMM,011200,김경배  정보 더보기,유가증권시장,110111-0193740,202-81-46197,"서울특별시 영등포구 여의대로 108 (여의도동, 파크원 타워1)",www.hmm21.com,,02-3706-5114,02-723-2193,외항 화물 운송업,1976-03-25,12월,00164645
에이플러스리얼티(주)  정보 더보기,"Aplus Realty Co.,Ltd.",에이플러스리얼티,,전영하  정보 더보기,기타법인,110111-4091685,120-87-39950,"서울특별시 서초구 강남대로 329 (서초동, 산학재단빌딩) 18층",www.aplusr.co.kr,,02-569-8248,02-6455-4882,부동산 관련 서비스업,2009-05-08,12월,00803869
(주)뉴보텍  정보 더보기  rss,"NUVOTEC Co., Ltd",뉴보텍,060260,황문기  정보 더보기,코스닥시장,141211-0004279,224-81-04616,강원도 원주시 태장공단길 42-6 -,www.nuvotec.co.kr,,033-734-6001,02-485-0808,"플라스틱 선, 봉, 관 및 호스 제조업",1990-11-01,12월,00351375
대선조선(주),DaesunSipbuilding&Engineering,대선조선,031990,안재용  정보 더보기,기타법인,180111-0001361,601-81-07936,"부산광역시 영도구 봉래나루로 261 (봉래동3가, 대선조선(주))",www.daesuns.co.kr,,0514195024,0514195028,선박 및 수상 부유 구조물 건조업,1945-12-25,12월,00110307
에이피시스템(주)  rss,Advanced Process Systems Corporation,AP시스템,265520,김영주,코스닥시장,134811-0400341,204-87-00511,경기도 화성시 동탄면 동탄산단8길 15-5,www.apsystems.co.kr,,031-379-2700,031-379-2800,디스플레이 제조용 기계 제조업,2017-03-02,12월,01203808
노을 주식회사  rss,"Noul Co., Ltd.",노을,376930,임찬양(단독 대표이사)  정보 더보기,코스닥시장,110111-5906974,482-81-00161,"경기도 용인시 수지구 광교중앙로 338, 비동 10층",noul.com,,031-308-6310,,전기식 진단 및 요법 기기 제조업,2015-12-02,12월,01494118
(주)에코바이브  정보 더보기,"EcoVive Co., Ltd.",에코바이브,015540,송관호  정보 더보기,기타법인,110111-0302565,118-81-03215,"서울특별시 강남구 역삼로14길 6-6 SH빌딩, 3층",www.thelma.co.kr,,02-566-3285,02-566-3285,기타 사업지원 서비스업,1981-09-02,12월,00108065
(주)씨앤에스자산관리  정보 더보기,"C&S ASSET MANAGEMENT CO., LTD.",씨앤에스자산관리,032040,이선욱  정보 더보기,기타법인,110111-0266620,102-81-19575,"서울특별시 종로구 사직로 130 (적선동,적선현대제1빌딩제907호)",www.cnsamc.com,,02-732-9676,02-733-3829,기타 사업지원 서비스업,1980-01-08,12월,00173731
(주)로보터스  정보 더보기,ROBOTOUS,로보터스,,문홍연,기타법인,131111-0127322,129-81-78356,"경기도 성남시 분당구 판교로 700 E동 605호(야탑동, 분당테크노파크)",www.robotous.com,,031-606-9902,031-776-2645,기타 주변기기 제조업,2004-11-01,12월,00671783
에이치디현대인프라코어(주)  정보 더보기  rss,"HD Hyundai Infracore Co., Ltd.",HD현대인프라코어,042670,"조영철, 오승현  정보 더보기",유가증권시장,120111-0234469,121-81-40254,인천광역시 동구 인중로 489(화수동),www.hd-infracore.com,,032-211-1114,02-3398-8339,건설 및 채광용 기계장비 제조업,2000-10-23,12월,00344287
엘에스머트리얼즈 주식회사  정보 더보기  rss,"LS Materials Co.,Ltd.",LS머트리얼즈,417200,홍영호,코스닥시장,134111-0570437,737-87-01854,경기도 안양시 동안구 엘에스로116번길 39 엘에스엠트론 하이테크 센터 6층,,,031-8045-8600,,전자축전기 제조업,2021-01-01,12월,01528141
(주)다함이텍  정보 더보기,"DAHAAM e-TEC CO., LTD",다함이텍,009280,안성수  정보 더보기,기타법인,110111-0153033,119-81-04575,"서울특별시 금천구 가산디지털1로 45 12층 1209호(가산동, 이앤씨드림타워8차)",www.da-haam.com,,02-865-9792,02-854-8880,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1973-09-29,12월,00130046
주식회사 아이엠증권  정보 더보기,"HI INVESTMENT & SECURITIES CO.,LTD.",아이엠증권,,성무용  정보 더보기,기타법인,180111-0093095,604-81-14270,"부산광역시 동래구 온천장로 121 (온천동, 하이투자증권주식회사)",www.hi-ib.com,,02-2122-9080,02-2122-9070,증권 중개업,1989-10-30,12월,00148665
(주)대백저축은행  정보 더보기,DEBEC SAVINGS BANK.,대백저축은행,026970,권호원  정보 더보기,기타법인,170111-0004044,501-81-00711,"대구광역시 수성구 달구벌대로 2382-1 (범어동, 대백저축은행)",www.debecbank.co.kr,,053-742-3301,053-742-2072,상호저축은행 및 기타 저축기관,1970-12-22,12월,00110060
아이씨티케이 주식회사  정보 더보기  rss,"ICTK Co., Ltd.",아이씨티케이,456010,이정원  정보 더보기,코스닥시장,131111-0496503,649-87-00830,"서울특별시 강남구 강남대로84길 16 비1층, 7층, 13층, 14층(역삼동, 제이스타워)",www.ictk.com,,025690010,0317399451,반도체 제조업,2017-10-18,12월,01373709
한화오션(주)  정보 더보기  rss,"Hanwha Ocean Co., Ltd.",한화오션,042660,김희철  정보 더보기,유가증권시장,110111-2095837,104-81-57667,경상남도 거제시 거제대로 3370 (아주동),www.hanwhaocean.com/pub/main/index.do,,055-735-2114,02-2129-0084,선박 및 수상 부유 구조물 건조업,2000-10-23,12월,00111704
(주)형지아이앤씨  정보 더보기  rss,HYUNGJI Innovation and Creative Company Limited,형지I&C,011080,최혜원  정보 더보기,코스닥시장,110111-0192271,119-81-05079,"인천광역시 연수구 하모니로177번길 49 12층 (송도동,형지글로벌패션복합센터)",www.hyungjiinc.com,,02-6119-4900,02-2107-6544,기타 봉제의복 제조업,1976-02-25,12월,00142713
한화솔루션(주)  정보 더보기  rss,HANWHA SOLUTIONS CORPORATION,한화솔루션,009830,"남정운, 홍정권, 김동관  정보 더보기",유가증권시장,110111-0360935,202-81-16577,서울특별시 중구 청계천로 86 한화빌딩,hcc.hanwha.co.kr,,02-729-2700,02-729-2731,석유화학계 기초 화학물질 제조업,1974-04-27,12월,00162461
리치앤타임 주식회사,"Rich&Time Co.,Ltd.",리치앤타임,,정용호  정보 더보기,기타법인,110111-2532293,107-86-18241,"서울특별시 구로구 디지털로 272 (구로동, 한신IT타워) 511호",www.rntime.com,,02-856-3223,02-2108-8870,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2002-05-25,12월,01023549
(주)큐엠씨  rss,"QMC Co., Ltd.",큐엠씨,136660,유병소,코넥스시장,134111-0109947,123-81-90560,경기도 안양시 동안구 부림로170번길 41-8(관양동),www.iqmc.co.kr,,031-427-0710,031-424-0714,반도체 및 디스플레이 제조용 기계 제조업,2003-07-29,12월,00816696
상신이디피(주)  정보 더보기  rss,"SANGSINENERGYDISPLAYPRECISIONCO.,LTD",상신이디피,091580,김일부,코스닥시장,134811-0016007,124-81-17179,충청남도 천안시 서북구 직산읍 4산단6길 57 -,www.ssedp.co.kr,,041-583-5027,041-583-5018,운송장비용 이차전지 제조업,1992-01-28,12월,00480783
테크밸리 주식회사  정보 더보기,"techvalley Co., Ltd",테크밸리,,김한석  정보 더보기,기타법인,110111-1404774,229-81-27370,"경기도 성남시 중원구 갈마치로 215 A-506(상대원동, 금강펜테리움IT타워)",www.techvalley.co.kr,,031-730-0825,031-730-0835,방사선 장치 제조업,1997-05-01,12월,00263423
(주)경주신라컨트리클럽  정보 더보기,gyeongju silla country club corporation,경주신라컨트리클럽,,박태일  정보 더보기,기타법인,171211-0026326,505-81-29480,경상북도 경주시 보문로 319 (신평동),www.sillacc.co.kr,,054)740-7114,054)740-7111,골프장 운영업,2001-04-17,12월,00413444
아이.지.앰.주식회사  정보 더보기,I.G.M.Co,아이.지.앰.,,김도훈  정보 더보기,기타법인,131211-0000120,126-81-00112,경기도 여주시 월평로 78 (월송동) 여주컨트리클럽,www.yeojoocc.co.kr,,031-883-7000,031-883-5736,골프장 운영업,1973-09-28,12월,00168012
피케이밸브앤엔지니어링(주)  정보 더보기,"PK VALVE&ENGINEERING CO.,LTD.",피케이밸브앤엔지니어링,,전영찬  정보 더보기,기타법인,194211-0000076,609-81-01498,경상남도 창원시 성산구 공단로 80 피케이밸브앤엔지니어링(주),www.pkvalve.co.kr,,055-268-3725,055-286-0281,유압기기 제조업,1946-06-27,12월,00259253
아주엠씨엠(주)  정보 더보기,"AJUMCM Co., Ltd.",아주엠씨엠,,"정원창, 추현식  정보 더보기",기타법인,175211-0004823,504-81-19301,경상북도 구미시 4공단로 325 (금전동) 아주엠씨엠 주식회사,www.mcmtec.com,,0545)974-5500,0545)974-5503,그 외 기타 1차 철강 제조업,1996-11-07,12월,00312084
(주)엑스엘게임즈,XLGAMES Inc.,엑스엘게임즈,,송재경,기타법인,110111-2757437,120-86-50905,"경기도 성남시 분당구 대왕판교로645번길 14 7층(삼평동, 네오위즈판교타워)",www.xlgames.com,,02-511-9585,02-511-9586,게임 소프트웨어 개발 및 공급업,2003-04-10,12월,00821218
명신산업(주)  정보 더보기  rss,MYOUNG SHIN INDUSTRY,명신산업,009900,최우철  정보 더보기,유가증권시장,171211-0000958,505-81-01731,경상북도 경주시 천북면 천북산단로 91,www.myoungshinindustry.com,,054-746-2665,031-337-2665,자동차 신품 부품 제조업,1982-04-17,12월,00173078
주식회사 비에이에너지,"BAENERGY.CO.,LTD",비에이에너지,,강태영,기타법인,200111-0401342,409-86-47133,광주광역시 북구 첨단연신로 12 B동 2층,www.baenergy.co.kr,,062-571-3065,062-571-3068,전동기 및 발전기 제조업,2014-07-01,12월,01756470
(주)모다이노칩  정보 더보기  rss,"Moda-InnoChips Co., Ltd.",모다이노칩,080420,"정태형, 강중근  정보 더보기",코스닥시장,135511-0106027,134-81-54564,경기도 안산시 단원구 동산로27번길 42-7 이노칩테크놀러지(주),www.innochips.co.kr,,031-315-7250,0313157249,"섬유, 의복, 신발 및 가죽제품 소매업",2000-04-24,12월,00480048
(주)피앤텔  정보 더보기,PEOPLE & TELECOMMUNICATION INC.,피앤텔,054340,이진환  정보 더보기,기타법인,110111-1433393,107-81-60410,서울특별시 영등포구 선유로 27 대륭오피스텔 1111gh,WWW.PNTEL.CO.KR,,054-979-3320,054-975-9494,방송 및 무선 통신장비 제조업,1997-06-28,12월,00302120
(주)진켐,GeneChem Inc.,진켐,,우진석,기타법인,110111-1369241,116-81-63236,대전광역시 유성구 가정북로 26-69 (장동),www.genechem.co.kr,,042-360-0872,042-360-0875,기초 의약 물질 제조업,1997-01-24,12월,01190203
에이치로보틱스(주),H ROBOTICS INC.,에이치로보틱스,,이춘배  정보 더보기,기타법인,171711-0143386,407-81-31509,"인천광역시 연수구 송도과학로 32 19층 엠1904호 (송도동, 송도테크노파크IT센터)",www.hroboticsinc.com,,032-710-4126,032-410-4130,정형외과용 및 신체보정용 기기 제조업,2018-11-27,12월,01571392
주식회사 케이조선  정보 더보기,"K Shipbuilding Co., Ltd.",케이조선,067250,장윤근  정보 더보기,기타법인,180111-0002814,120-81-68604,경상남도 창원시 진해구 명제로 60 주식회사 케이조선,www.kshipbuilding.com,,055-548-1122,055-546-4322,선박 및 수상 부유 구조물 건조업,1967-04-10,12월,00109453
(주)위노바  정보 더보기,"WINNOVA CO., Ltd.",위노바,039790,고연우  정보 더보기,기타법인,134111-0046313,134-81-32798,경기도 평택시 청북면 청북산단로 178 (율북리 1026),www.winnova.co.kr,,031-8094-4550,031-8094-4549,기타 화학제품 제조업,1995-05-18,12월,00261735
(주)케이티알파  정보 더보기  rss,"kt alpha Co., Ltd.",케이티알파,036030,박승표  정보 더보기,코스닥시장,110111-0822026,211-81-79649,서울특별시 동작구 보라매로5길 23 삼성보라매옴니타워,www.ktalpha.com,,02-1588-5668,02-3289-2060,상품 중개업,1991-12-12,12월,00260958
유네코(주)  정보 더보기,"UNECO CO.,LTD.",유네코,064510,"이명준, 김종원(각자대표)  정보 더보기",기타법인,124411-0001264,137-81-07056,"서울특별시 금천구 가산디지털1로 225 ,715호(가산동, 에이스가산포휴)",www.unecogroup.com,,02-852-2300,02-852-2301,특수 목적용 기계 제조업,1982-08-05,12월,00127699
주식회사창원컨트리클럽  정보 더보기,changwon country club corporation,창원컨트리클럽,,신진기  정보 더보기,기타법인,194211-0050451,609-81-51834,경상남도 창원시 의창구 대봉로 137,changwoncountryclub.co.kr,,055)288-4112,055)288-4331,골프장 운영업,2001-10-08,12월,00455185
(주)제낙스  정보 더보기,JENAX Inc.,제낙스,065620,정덕채  정보 더보기,기타법인,184611-0004684,622-81-04426,경상남도 김해시 생림면 생림대로928번길 10-58,jenaxinc.com,,055-335-8989,055-335-8980,철강선 제조업,1991-06-18,12월,00201788
(주)에이플러스라이프,APLUSLIFE,에이플러스라이프,,서덕태  정보 더보기,기타법인,110111-3989245,120-87-33918,"서울특별시 강남구 역삼로 415 (대치동, 성진빌딩)",www.apluslife.co.kr/mutual/default/index.php,,02-6006-0683,02-508-0788,장례식장 및 장의관련 서비스업,2008-11-01,12월,00838652
주식회사 에스이그린에너지,"SE Greenenergy Co.,Ltd.",에스이그린에너지,,배영진  정보 더보기,기타법인,110111-5015056,143-81-07895,경기도 화성시 장안면 화곡로 280-50 에스이그린에너지,,,070-8898-1715,050-5027-2809,발전업,2012-12-04,12월,00969642
(주)아이톡시  정보 더보기  rss,ITOXI Corp.,아이톡시,052770,전봉규  정보 더보기,코스닥시장,110111-1434218,211-86-23306,서울특별시 강남구 도산대로 427 파모소빌딩 4층,www.ydonline.co.kr,,02-6207-7111,02-6207-7115,기타 전문 도매업,1997-06-30,12월,00346911
(주)콤텍시스템  정보 더보기  rss,"COMTEC SYSTEMS CO.,LTD",콤텍시스템,031820,권창완  정보 더보기,유가증권시장,110111-0414126,229-81-12824,서울특별시 영등포구 가마산로 343,www.comtec.co.kr,,02-3289-0114,02)836-6619,컴퓨터 프로그래밍 서비스업,1983-08-18,12월,00186559
쌍용씨앤이주식회사  정보 더보기,"SSANGYONGC&E.CO.,LTD.",쌍용씨앤이,003410,"홍사승, 이현준 (각자)대표집행임원  정보 더보기",기타법인,110111-0037823,202-81-33033,서울특별시 중구 수표로 34 씨티센터타워 7~9층,www.ssangyongcement.co.kr,,02-2270-5114,02-2272-2191,시멘트 제조업,1962-05-14,12월,00138224
(주)하이소닉  정보 더보기  rss,"HYSONIC Co., Ltd.",하이소닉,106080,박용직  정보 더보기,코스닥시장,135011-0111703,134-81-66610,경기도 안산시 상록구 해안로 705 경기테크노파크 RIT센터 5층,www.hysonic.com,,031-8040-0500,031-8084-9633,기타 전자부품 제조업,2001-03-29,12월,00542898
주식회사 에이아이더뉴트리진  정보 더보기  rss,"AItheNutrigene Co., Ltd.",에이아이더뉴트리진,311960,김수화  정보 더보기,코넥스시장,110111-4969006,264-81-04609,"경기도 성남시 수정구 창업로 42 630호(시흥동, 판교제2테크노밸리경기기업성장센터)",aithenutrigene.com,,16665950,031-715-5952,소프트웨어 개발 및 공급업,2012-09-26,12월,01290132
(주)케이씨씨  정보 더보기  rss,KCC Corporation,케이씨씨,002380,"정몽진, 정재훈  정보 더보기",유가증권시장,110111-0221814,214-81-70045,서울특별시 서초구 사평대로 344 (주)케이씨씨 빌딩,www.kccworld.co.kr,kccworld.irpage.co.kr,02-3480-5000,02-3480-5437,일반용 도료 및 관련제품 제조업,1958-08-12,12월,00105271
주식회사 제이투케이바이오  rss,"J2KBIO Co., Ltd.",제이투케이바이오,420570,이재섭,코스닥시장,150111-0229589,665-86-00626,충청북도 청주시 청원구 오창읍 두릉유리로 50-3,www.j2kbio.com,,043-280-9000,043-280-9099,화장품 제조업,2016-12-27,12월,01553129
주식회사 DB하이텍  정보 더보기  rss,"DB HiTek Co.,LTD",DB하이텍,000990,조기석  정보 더보기,유가증권시장,110111-0026206,211-81-10771,경기도 부천시 수도로 90 (주)DB하이텍,www.dbhitek.co.kr,,02-3484-2888,02-550-1899,전자집적회로 제조업,1953-04-28,12월,00160843
극동전선(주)  정보 더보기,"KUKDONG ELECTRIC WIRE CO.,LTD",극동전선,006250,강인구  정보 더보기,기타법인,115211-0000609,301-81-11393,"충청북도 진천군 초평면 용정길 29-23 (용정리, 극동전선)",www.cablekukdong.co.kr,,02-2140-3021,02-2140-3039,기타 절연선 및 케이블 제조업,1969-10-23,12월,00105165
넥상스코리아(주)  정보 더보기,NEXANS KOREA LTD,넥상스코리아,003050,강인구  정보 더보기,기타법인,111511-0000798,127-81-00963,충청북도 청주시 서원구 남이면 사동길 50 (사동리),www.nexans.co.kr,,02-2140-2471,02-2140-2489,기타 절연선 및 케이블 제조업,1960-11-21,12월,00110547
주식회사 씽크풀  정보 더보기,"THINKPOOL Co.,Ltd.",씽크풀,,김동진,기타법인,110111-1001570,116-81-54775,"서울특별시 영등포구 국제금융로 70 (여의도동,미원빌딩 15층)",www.thinkpool.com,,02-2174-6300,02-2174-6305,시스템 소프트웨어 개발 및 공급업,1994-01-11,12월,00355380
테고사이언스(주)  rss,"Tego Science, Inc.",테고사이언스,191420,전세화,코스닥시장,160111-0114126,314-81-40292,"서울특별시 강서구 마곡중앙8로 93 (마곡동, 테고사이언스)",www.tegoscience.com,,02-818-2900,02-2107-3173,기초 의약 물질 제조업,2001-03-20,12월,00926522
(주)카카오게임즈  정보 더보기  rss,Kakao Games Corp.,카카오게임즈,293490,Sang Woo Han  정보 더보기,코스닥시장,131111-0351682,144-81-18454,"경기도 성남시 분당구 판교역로 152, 14층(백현동, 알파돔타워 3)",kakaogames.com,,1566-8834,,게임 소프트웨어 개발 및 공급업,2013-08-22,12월,01137383
대상홀딩스(주)  정보 더보기  rss,"DAESANG HOLDINGS CO., LTD",대상홀딩스,084690,"임창욱, 최성수 각자대표이사  정보 더보기",유가증권시장,110111-3280099,206-86-01066,서울특별시 중구 세종대로9길 41 올리브타워 2층,,,02-2211-6500,02-2214-6511,지주회사,2005-08-01,12월,00539274
일레덱스홀딩스(주)  정보 더보기,"ELEDEX HOLDINGS CO.,LTD",일레덱스홀딩스,033550,최규봉  정보 더보기,기타법인,120111-0008103,137-81-02032,"서울특별시 강남구 테헤란로70길 14-6 (대치동, 세왕종합상사빌딩) B동 3층",luxon.co.kr,,02-552-6757,02-552-6758,고체연료 및 관련제품 도매업,1979-01-08,12월,00268011
에이팸(주)  정보 더보기,APAM CORPORATION,에이팸,073070,남상은  정보 더보기,기타법인,180111-0152057,605-81-18906,울산광역시 울주군 웅촌면 웅비공단길 91-1 (대대리),www.nexentech.co.kr,,052-259-8331,052-259-8333,자동차 신품 부품 제조업,1994-02-01,12월,00235147
코스모화학(주)  정보 더보기  rss,"COSMOCHEMICALCO.,LTD",코스모화학,005420,안성덕  정보 더보기,유가증권시장,110111-0152738,105-81-33052,서울특별시 서초구 반포대로 43 코스모빌딩 5층,www.cosmochem.co.kr,,052-231-6700,052-231-6823,그 외 기타 화학제품 제조업,1968-02-12,12월,00160302
주식회사 센코  rss,"SENKO Co.,Ltd.",센코,347000,하승철,코스닥시장,141111-0025962,226-81-32985,경기도 오산시 독산성로 445 (주)센코,www.senko.co.kr,,031-492-0445,031-492-0446,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2004-11-23,12월,01023318
(주)아이윈  정보 더보기  rss,"iWIN CO.,LTD",아이윈,090150,"신규진, 조병호(각자대표이사)  정보 더보기",코스닥시장,184511-0020244,621-81-32365,부산광역시 기장군 장안읍 장안산단9로 110,www.kwangjinwintec.com,ir@kwangjinwintec.com,051-711-2222,051-711-2525,자동차 신품 부품 제조업,1999-02-06,12월,00365624
대상(주)  정보 더보기  rss,DAESANG CORPORATION,대상,001680,임정배  정보 더보기,유가증권시장,110111-0327125,109-81-14886,서울특별시 종로구 창경궁로 120 종로플레이스,www.daesang.co.kr,,02-2220-9500,02-2220-9870,기타 식품 제조업,1956-01-31,12월,00121941
한국동서발전주식회사,"Korea East-West Power Co., Ltd.",한국동서발전,,김영문  정보 더보기,기타법인,110111-2207151,120-86-19199,울산광역시 중구 종가로 395 (북정동),www.ewp.co.kr,,07050001136,07050001199,발전업,2001-04-02,12월,00393636
진원생명과학(주)  정보 더보기  rss,"GeneOne Life Science, Inc.",진원생명과학,011000,박영근  정보 더보기,유가증권시장,110111-0191562,120-81-14898,"서울특별시 영등포구 여의대로 108 20층(여의도동, 파크원NH금융타워(타워2))",www.genels.com,,02-3458-4030,02-557-6784,의약품 제조업,1976-01-27,12월,00118521
(주)파인엠텍  rss,"Fine M-Tec Co.,Ltd.",파인엠텍,441270,이재규,코스닥시장,134111-0618279,581-81-02559,경기도 안양시 만안구 전파로24번길 93(안양동),www.finemtec.com,,031-463-8800,,그 외 기타 전자부품 제조업,2022-09-01,12월,01686755
(주)세니젠  정보 더보기  rss,"SANIGEN Co., Ltd.",세니젠,188260,박정웅,코스닥시장,110111-3313254,220-87-16524,"경기도 안양시 동안구 흥안대로427번길 16, 411호",sanigen.kr,,18338010,,그 외 기타 제품 제조업,2005-09-28,12월,01305869
(주)엠피씨플러스  정보 더보기,MPC plus Inc.,엠피씨플러스,050540,조성완  정보 더보기,기타법인,110111-0793657,120-81-33916,서울특별시 중구 소월로2길 30 남산트라팰리스 12층,www.mpc.co.kr,,02-3401-4114,02-3402-3551,콜센터 및 텔레마케팅 서비스업,1991-07-24,12월,00302078
(주)엔이능률  정보 더보기  rss,"NE Neungyule, Inc.",NE능률,053290,주민홍  정보 더보기,코스닥시장,110111-1051137,105-81-65267,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층,www.neungyule.com,,02-2014-7114,02-322-3095,서적 출판업,1994-06-28,12월,00363927
(주)아이엠캐피탈  정보 더보기,"iM CAPITAL Co., Ltd.",아이엠캐피탈,,김병희  정보 더보기,기타법인,110111-4178730,220-87-87408,"서울특별시 중구 남대문로 125 8층 (다동, 디지비금융센터)",www.dgbcap.co.kr,,02-1566-0050,0505-047-2023,금융리스업,2009-09-14,12월,00796471
(주)아크로스,"ACROSS CO.,LTD",아크로스,,문형진  정보 더보기,기타법인,134111-0177134,138-81-52743,서울특별시 강남구 삼성로133길 17 (청담동) 4층,www.across.kr,,02-6966-1800,02-6966-1898,그 외 기타 의료용 기기 제조업,2009-04-28,12월,01064041
에어미디어  정보 더보기,AIRMEDIA CORPORATION,에어미디어,,김승목  정보 더보기,기타법인,110111-1266900,120-81-66187,"서울특별시 성동구 성수일로8길 5 (성수동2가, 서울숲SKV1TOWER, 1509호)",www.airmedia.co.kr,,02-3485-3000,02-3482-3022,무선 및 위성 통신업,1996-05-01,12월,00239675
CS 홀딩스(주)  정보 더보기  rss,"CS Holdings Co.,Ltd.",CS홀딩스,000590,장원영  정보 더보기,유가증권시장,110111-0008486,220-81-13170,경상북도 포항시 남구 괴동로 43 (장흥동),www.chosunwelding.com,,02-3459-9363,052-237-3311,지주회사,1949-01-12,12월,00149026
